Tree,Ground Truth,Number of manual annotations,AI detections,variety,GS,field,date
18.0,41,57.0,63.0,Portugieser,83,Gruenstadt,9_8_23
19.0,23,28.0,29.0,Portugieser,83,Gruenstadt,9_8_23
20.0,32,33.0,37.0,Portugieser,83,Gruenstadt,9_8_23
21.0,6,8.0,5.0,Portugieser,83,Gruenstadt,9_8_23
22.0,23,22.0,23.0,Portugieser,83,Gruenstadt,9_8_23
23.0,15,8.0,5.0,Portugieser,83,Gruenstadt,9_8_23
1.0,28,31.0,28.0,Portugieser,84,Gruenstadt,30_8_23
2.0,36,40.0,43.0,Portugieser,84,Gruenstadt,30_8_23
3.0,27,40.0,48.0,Portugieser,84,Gruenstadt,30_8_23
4.0,24,12.0,12.0,Portugieser,84,Gruenstadt,30_8_23
5.0,24,19.0,24.0,Portugieser,84,Gruenstadt,30_8_23
6.0,28,11.0,17.0,Portugieser,84,Gruenstadt,30_8_23
7.0,61,31.0,45.0,Portugieser,84,Gruenstadt,30_8_23
8.0,49,67.0,71.0,Portugieser,84,Gruenstadt,30_8_23
9.0,27,38.0,37.0,Portugieser,84,Gruenstadt,30_8_23
10.0,22,25.0,25.0,Portugieser,84,Gruenstadt,30_8_23
11.0,19,24.0,21.0,Portugieser,84,Gruenstadt,30_8_23
12.0,13,13.0,11.0,Portugieser,84,Gruenstadt,30_8_23
13.0,20,23.0,22.0,Portugieser,84,Gruenstadt,30_8_23
14.0,30,34.0,37.0,Portugieser,84,Gruenstadt,30_8_23
15.0,21,21.0,29.0,Portugieser,84,Gruenstadt,30_8_23
16.0,4,7.0,4.0,Portugieser,84,Gruenstadt,30_8_23
17.0,23,19.0,20.0,Portugieser,84,Gruenstadt,30_8_23
18.0,41,68.0,71.0,Portugieser,84,Gruenstadt,30_8_23
19.0,23,34.0,41.0,Portugieser,84,Gruenstadt,30_8_23
20.0,32,47.0,46.0,Portugieser,84,Gruenstadt,30_8_23
21.0,6,6.0,7.0,Portugieser,84,Gruenstadt,30_8_23
22.0,23,27.0,31.0,Portugieser,84,Gruenstadt,30_8_23
23.0,15,12.0,11.0,Portugieser,84,Gruenstadt,30_8_23
